seed_number,tau,rho
1270,0.05,0.006
1271,0.05,0.006
1272,0.05,0.006
1273,0.05,0.006
1274,0.05,0.006
1275,0.05,0.006
1276,0.05,0.006
1277,0.05,0.006
1278,0.05,0.006
1279,0.05,0.006
1280,0.05,0.006
1281,0.05,0.006
1282,0.05,0.006
1283,0.05,0.006
1284,0.05,0.006
1285,0.05,0.006
1286,0.05,0.006
1287,0.05,0.006
1288,0.05,0.006
1289,0.05,0.006
1290,0.05,0.006
1291,0.05,0.006
1292,0.05,0.006
1293,0.05,0.006
1294,0.05,0.006
1295,0.05,0.006
1296,0.05,0.006
1297,0.05,0.006
1298,0.05,0.006
1299,0.05,0.006
1300,0.05,0.007
1301,0.05,0.007
1302,0.05,0.007
1303,0.05,0.007
1304,0.05,0.007
1305,0.05,0.007
1306,0.05,0.007
1307,0.05,0.007
1308,0.05,0.007
1309,0.05,0.007
1310,0.05,0.007
1311,0.05,0.007
1312,0.05,0.007
1313,0.05,0.007
1314,0.05,0.007
1315,0.05,0.007
1316,0.05,0.007
1317,0.05,0.007
1318,0.05,0.007
1319,0.05,0.007
1320,0.05,0.007
1321,0.05,0.007
1322,0.05,0.007
1323,0.05,0.007
1324,0.05,0.007
1325,0.05,0.007
1326,0.05,0.007
1327,0.05,0.007
1328,0.05,0.007
1329,0.05,0.007
1330,0.05,0.007
1331,0.05,0.007
1332,0.05,0.007
1333,0.05,0.007
1334,0.05,0.007
1335,0.05,0.007
1336,0.05,0.007
1337,0.05,0.007
1338,0.05,0.007
1339,0.05,0.007
1340,0.05,0.007
1341,0.05,0.007
1342,0.05,0.007
1343,0.05,0.007
1344,0.05,0.007
1345,0.05,0.007
1346,0.05,0.007
1347,0.05,0.007
1348,0.05,0.007
1349,0.05,0.007
1350,0.05,0.008
1351,0.05,0.008
1352,0.05,0.008
1353,0.05,0.008
1354,0.05,0.008
1355,0.05,0.008
1356,0.05,0.008
1357,0.05,0.008
1358,0.05,0.008
1359,0.05,0.008
1360,0.05,0.008
1361,0.05,0.008
1362,0.05,0.008
1363,0.05,0.008
1364,0.05,0.008
1365,0.05,0.008
1366,0.05,0.008
1367,0.05,0.008
1368,0.05,0.008
1369,0.05,0.008
1370,0.05,0.008
1371,0.05,0.008
1372,0.05,0.008
1373,0.05,0.008
1374,0.05,0.008
1375,0.05,0.008
1376,0.05,0.008
1377,0.05,0.008
1378,0.05,0.008
1379,0.05,0.008
1380,0.05,0.008
1381,0.05,0.008
1382,0.05,0.008
1383,0.05,0.008
1384,0.05,0.008
1385,0.05,0.008
1386,0.05,0.008
1387,0.05,0.008
1388,0.05,0.008
1389,0.05,0.008
1390,0.05,0.008
1391,0.05,0.008
1392,0.05,0.008
1393,0.05,0.008
1394,0.05,0.008
1395,0.05,0.008
1396,0.05,0.008
1397,0.05,0.008
1398,0.05,0.008
1399,0.05,0.008
1400,0.05,0.009000000000000001
1401,0.05,0.009000000000000001
1402,0.05,0.009000000000000001
1403,0.05,0.009000000000000001
1404,0.05,0.009000000000000001
1405,0.05,0.009000000000000001
1406,0.05,0.009000000000000001
1407,0.05,0.009000000000000001
1408,0.05,0.009000000000000001
1409,0.05,0.009000000000000001
1410,0.05,0.009000000000000001
1411,0.05,0.009000000000000001
1412,0.05,0.009000000000000001
1413,0.05,0.009000000000000001
1414,0.05,0.009000000000000001
1415,0.05,0.009000000000000001
1416,0.05,0.009000000000000001
1417,0.05,0.009000000000000001
1418,0.05,0.009000000000000001
1419,0.05,0.009000000000000001
1420,0.05,0.009000000000000001
1421,0.05,0.009000000000000001
1422,0.05,0.009000000000000001
1423,0.05,0.009000000000000001
1424,0.05,0.009000000000000001
1425,0.05,0.009000000000000001
1426,0.05,0.009000000000000001
1427,0.05,0.009000000000000001
1428,0.05,0.009000000000000001
1429,0.05,0.009000000000000001
1430,0.05,0.009000000000000001
1431,0.05,0.009000000000000001
1432,0.05,0.009000000000000001
1433,0.05,0.009000000000000001
1434,0.05,0.009000000000000001
1435,0.05,0.009000000000000001
1436,0.05,0.009000000000000001
1437,0.05,0.009000000000000001
1438,0.05,0.009000000000000001
1439,0.05,0.009000000000000001
1440,0.05,0.009000000000000001
1441,0.05,0.009000000000000001
1442,0.05,0.009000000000000001
1443,0.05,0.009000000000000001
1444,0.05,0.009000000000000001
1445,0.05,0.009000000000000001
1446,0.05,0.009000000000000001
1447,0.05,0.009000000000000001
1448,0.05,0.009000000000000001
1449,0.05,0.009000000000000001
1450,0.05,0.01
1451,0.05,0.01
1452,0.05,0.01
1453,0.05,0.01
1454,0.05,0.01
1455,0.05,0.01
1456,0.05,0.01
1457,0.05,0.01
1458,0.05,0.01
1459,0.05,0.01
1460,0.05,0.01
1461,0.05,0.01
1462,0.05,0.01
1463,0.05,0.01
1464,0.05,0.01
1465,0.05,0.01
1466,0.05,0.01
1467,0.05,0.01
1468,0.05,0.01
1469,0.05,0.01
1470,0.05,0.01
1471,0.05,0.01
1472,0.05,0.01
1473,0.05,0.01
1474,0.05,0.01
1475,0.05,0.01
1476,0.05,0.01
1477,0.05,0.01
1478,0.05,0.01
1479,0.05,0.01
1480,0.05,0.01
1481,0.05,0.01
1482,0.05,0.01
1483,0.05,0.01
1484,0.05,0.01
1485,0.05,0.01
1486,0.05,0.01
1487,0.05,0.01
1488,0.05,0.01
1489,0.05,0.01
1490,0.05,0.01
1491,0.05,0.01
1492,0.05,0.01
1493,0.05,0.01
1494,0.05,0.01
1495,0.05,0.01
1496,0.05,0.01
1497,0.05,0.01
1498,0.05,0.01
1499,0.05,0.01
